"fontID","fontName","fontProfile"
"5fd4c163-8220-4dd7-baff-01e9ca94d203","横假名","横書きの假名。"
"29eaa1da-f89b-4d78-8f17-8c300bd2dcb3","Yuraruゴチック",""
