"activityID","activityType(makeSentence|makeImage|editImage|makeFont|editFont)","objectID","userID","activityDate"
"1ee2b37a-28f3-45f5-97d4-aa90af353d76","makeFont","29eaa1da-f89b-4d78-8f17-8c300bd2dcb3","63717b1c-476d-4c47-8794-4eee0a89bb82","2012/03/07 9:29:02"
"a2183fdd-105a-49b7-80ef-ce114173b783","makeSentence","766fafd7-8ab6-4ef2-b2d0-87f106ec9bec","63717b1c-476d-4c47-8794-4eee0a89bb82","2012/03/07 9:30:56"
"bb2875ef-1840-4e32-842e-35601bb3ea5f","makeImage","971e8f05-7883-4ce7-9d4d-0db6af36721a","63717b1c-476d-4c47-8794-4eee0a89bb82","2012/03/07 9:42:49"
"e719d3fe-9cba-4bc3-80f3-a5207b15065a","makeImage","261a5fdc-7a1d-450f-8f7f-f26f0e30fb20","63717b1c-476d-4c47-8794-4eee0a89bb82","2012/03/07 9:43:07"
"5e20863a-0565-48ca-bd5e-fb115e5f0ca3","makeImage","bb9940f6-bb48-4856-9425-fcc08d2d68b3","63717b1c-476d-4c47-8794-4eee0a89bb82","2012/03/07 12:34:58"
"8210446f-eae1-45bd-9d1d-415a2ed45ee8","makeImage","57f06396-e3bd-401d-96b8-d13c87dab0ee","63717b1c-476d-4c47-8794-4eee0a89bb82","2012/03/07 13:19:09"
"8c470019-d3bb-4a0f-8a49-f4425f3b8ec6","followUser","8c1181ff-a4cc-4c17-80ff-2102fdcc4190","63717b1c-476d-4c47-8794-4eee0a89bb82","2012/03/07 14:06:20"
"b2011d25-4098-4d2a-b666-3d9fd57df966","makeImage","33570626-b508-4699-85ef-70485a60d3d2","63717b1c-476d-4c47-8794-4eee0a89bb82","2012/03/07 15:49:47"
"82e61e32-17aa-47ce-999c-a4cae47a6701","makeSentence","e3530329-aa29-4091-9fdd-3444d5f44911","63717b1c-476d-4c47-8794-4eee0a89bb82","2012/03/07 15:51:16"
"f9fb2cc2-03b0-4546-a47e-693dd90cb107","makeImage","30da9c09-529d-49f0-bb12-8a067bb0416a","63717b1c-476d-4c47-8794-4eee0a89bb82","2012/03/07 15:55:54"
"bff4a4ea-f03b-43a4-9678-541f4a4ecea2","makeImage","399b24f5-35f1-4cf0-b3f6-f0655cad67b0","63717b1c-476d-4c47-8794-4eee0a89bb82","2012/03/07 15:56:23"
"d0c016c5-96d3-4f57-a88d-2b502ec6e774","editImage","399b24f5-35f1-4cf0-b3f6-f0655cad67b0","63717b1c-476d-4c47-8794-4eee0a89bb82","2012/03/07 15:56:28"
"65cdcdd2-51e7-4eea-9de2-5d872651d6f3","makeImage","e83b3a1b-a9a4-43da-a2bd-2d136fa92e35","63717b1c-476d-4c47-8794-4eee0a89bb82","2012/03/07 15:57:06"
"74282286-7325-4279-b5c6-50513b1f39c2","makeImage","aafa0944-c367-4bbb-9ad5-2024570f1335","63717b1c-476d-4c47-8794-4eee0a89bb82","2012/03/07 15:59:19"
"af0d578e-e3e5-4536-ba74-8c87729299a4","makeImage","4ed631ed-9100-412b-85e8-5c2d6f8006ee","63717b1c-476d-4c47-8794-4eee0a89bb82","2012/03/07 15:59:39"
"a5e5f4e0-abe9-42ee-9a99-2deada5c684f","makeImage","aa79dd0e-0986-4369-b4d6-71fcc3924042","63717b1c-476d-4c47-8794-4eee0a89bb82","2012/03/07 15:59:59"
"82d7b30c-bb9c-448b-a2bd-c9f561c7b498","makeImage","adbfd47b-29e5-4509-857f-58a7bba680c9","00aae0e5-91ee-4fe7-afa0-dfdc2b89580d","2012/03/07 16:01:54"
"cee7605f-0628-4153-8f2e-fc7fcc9e96da","makeImage","41eba3b2-3b35-4af1-90c1-a600cb38ecf2","00aae0e5-91ee-4fe7-afa0-dfdc2b89580d","2012/03/07 16:02:34"
"46cbbc5b-9f87-4390-b82e-4fce92a4c97d","makeImage","b95c4feb-588b-46b7-a40b-638eb25dce85","00aae0e5-91ee-4fe7-afa0-dfdc2b89580d","2012/03/07 16:02:59"
"7d513cd2-c5b0-449e-b91d-d2e128da20cb","makeImage","b7745e55-9327-428d-8e5f-04de36697f07","63717b1c-476d-4c47-8794-4eee0a89bb82","2012/03/07 16:25:37"
